ID_CLIENT,FREQ,TOTAL_SPEND,TRAFFIC,AVG_BASKET,SCORE_IMPACT
-9.20595e+18,2,233.0,2,116.5,3.187164680730232
-9.20548e+18,1,37.0,1,37.0,1.1530004266846152
-9.20489e+18,3,131.86,3,43.95333333333334,2.0689048703645
-9.20463e+18,3,67.85000000000001,3,22.61666666666667,1.6265260735850673
-9.20462e+18,8,1597.64,8,199.705,7.227493513342156
-9.20439e+18,1,81.75,1,81.75,2.0808141037294337
-9.20353e+18,7,385.33,6,55.04714285714285,3.717394040881451
-9.20345e+18,1,76.9,1,76.9,1.9802577610776493
-9.20315e+18,1,52.949999999999996,1,52.949999999999996,1.4836960277765672
-9.20304e+18,7,432.23,6,61.74714285714286,3.8563069266065972
-9.20279e+18,3,142.76,3,47.586666666666666,2.144235738742813
-9.20248e+18,1,88.0,1,88.0,2.210397019517816
-9.20136e+18,3,123.18,3,41.06,2.0089166192155314
-9.20104e+18,1,45.79,1,45.79,1.3352458394493967
-9.20101e+18,1,132.0,1,132.0,3.122660746668029
-9.20078e+18,1,72.75,1,72.75,1.8942147049941631
-9.20019e+18,4,139.18,4,34.795,2.264892269646648
-9.20005e+18,1,39.9,1,39.9,1.2131268996104247
-9.19937e+18,1,62.9,1,62.9,1.6899920297116722
-9.19857e+18,3,162.98,3,54.32666666666666,2.283977955129004
-9.198e+18,1,54.989999999999995,1,54.989999999999995,1.5259918914898953
-9.19777e+18,1,74.25,1,74.25,1.925314604783375
-9.19769e+18,3,201.15,2,67.05,2.4227742162299406
-9.19717e+18,2,152.0,2,76.0,2.347467386421513
-9.19657e+18,1,61.44,1,61.44,1.6597214605835062
-9.19631e+18,1,85.4,1,85.4,2.1564905265498493
-9.19623e+18,1,233.3,1,233.3,5.222940645766132
-9.19621e+18,1,17.9,1,17.9,0.7569950360353186
-9.19619e+18,1,74.4,1,74.4,1.9284245947622962
-9.19484e+18,1,105.6,1,105.6,2.575302510377901
-9.19464e+18,2,22.98,2,11.49,1.009964362820145
-9.194e+18,3,83.5,3,27.833333333333332,1.7346846139631036
-9.1938e+18,2,120.37,2,60.185,2.0195707763105903
-9.19327e+18,1,46.99,1,46.99,1.3601257592807658
-9.19317e+18,4,121.28,4,30.32,2.1721109019421663
-9.1927e+18,1,249.0,1,249.0,5.548452930226548
-9.19258e+18,1,61.879999999999995,1,61.879999999999995,1.6688440978550083
-9.19221e+18,1,18.9,1,18.9,0.7777283025614598
-9.19215e+18,1,19.99,1,19.99,0.8003275630749537
-9.19141e+18,1,45.0,1,45.0,1.318866558893745
-9.19132e+18,1,38.0,1,38.0,1.1737336932107565
-9.19093e+18,3,56.870000000000005,3,18.956666666666667,1.5506423180993902
-9.19086e+18,1,109.9,1,109.9,2.6644555564403087
-9.19038e+18,1,69.3,1,69.3,1.822684935478976
-9.18991e+18,10,309.42,10,30.942,4.500224385025773
-9.18976e+18,11,1069.56,10,97.23272727272727,6.135517267000356
-9.18963e+18,1,15.99,1,15.99,0.7173944969703889
-9.18955e+18,3,324.05,3,108.01666666666667,3.397147034917525
-9.18925e+18,1,117.0,1,117.0,2.811661748775911
-9.1892e+18,8,355.73,8,44.46625,4.008887134407156
-9.189e+18,2,113.99,2,56.995,1.9534316560921998
-9.18878e+18,1,168.0,1,168.0,3.869058341609112
-9.18871e+18,37,2940.39,33,79.47,15.424846603875919
-9.18867e+18,1,14.99,1,14.99,0.6966612304442478
-9.18831e+18,1,115.25,1,115.25,2.775378532355164
-9.18804e+18,2,96.78,2,48.39,1.775021897634755
-9.18802e+18,1,16.9,1,16.9,0.7362617695091774
-9.18797e+18,5,275.5,4,55.1,2.946750811677336
-9.18765e+18,3,35.97,3,11.99,1.4062005613006068
-9.18763e+18,5,191.7,5,38.339999999999996,2.72426126469921
-9.18743e+18,1,53.78,1,53.78,1.5009046389932648
-9.18701e+18,1,17.99,1,17.99,0.7588610300226714
-9.18672e+18,1,257.8,1,257.8,5.730905675656591
-9.18669e+18,2,125.25,2,62.625,2.0701599466343747
-9.1866e+18,8,201.3,6,25.1625,3.358657340703158
-9.18653e+18,2,192.0,2,96.0,2.762132716944337
-9.18648e+18,1,297.0,1,297.0,6.543649723481325
-9.18628e+18,2,81.75,2,40.875,1.6192113996908035
-9.18587e+18,3,144.5,3,48.166666666666664,2.1562610333279744
-9.18543e+18,1,35.5,1,35.5,1.1219005268954036
-9.18531e+18,2,242.63,2,121.315,3.2869953590536016
-9.18519e+18,1,4.99,1,4.99,0.48932856518283585
-9.18511e+18,7,232.75,7,33.25,3.3904680685159336
-9.18484e+18,1,79.0,1,79.0,2.0237976207825454
-9.1843e+18,1,94.0,1,94.0,2.334796618674664
-9.18425e+18,1,153.79000000000002,1,153.79000000000002,3.574438624272646
-9.18377e+18,1,4.99,1,4.99,0.48932856518283585
-9.18362e+18,3,221.87,3,73.95666666666666,2.690971977037156
-9.18342e+18,5,272.18,5,54.436,3.0579839227039782
-9.18329e+18,1,33.99,1,33.99,1.0905932944409304
-9.1831e+18,8,192.96,8,24.12,3.587042910349656
-9.18304e+18,1,42.0,1,42.0,1.2566667593153213
-9.18292e+18,1,223.8,1,223.8,5.02597461376779
-9.18271e+18,1,884.31,1,884.31,18.72050448694931
-9.18256e+18,1,12.9,1,12.9,0.6533287034046127
-9.18215e+18,9,380.22,9,42.24666666666667,4.348737486797567
-9.18165e+18,1,39.9,1,39.9,1.2131268996104247
-9.18151e+18,1,17.99,1,17.99,0.7588610300226714
-9.18119e+18,1,115.36,1,115.36,2.7776591916730395
-9.18111e+18,3,31.97,3,10.656666666666666,1.3785562059324183
-9.18093e+18,3,73.87,3,24.623333333333335,1.6681308284141902
-9.18052e+18,15,580.12,14,38.67466666666667,6.464895650070537
-9.18031e+18,4,601.28,4,150.32,4.660102885079109
-9.17978e+18,1,217.8,1,217.8,4.901575014610943
-9.17903e+18,3,214.36,3,71.45333333333333,2.6390696998333825
-9.17888e+18,3,232.0,3,77.33333333333333,2.7609813070070928
-9.17881e+18,1,108.5,1,108.5,2.6354289833037106
-9.17834e+18,2,198.9,2,99.45,2.833662486459524
-9.17803e+18,1,13.99,1,13.99,0.6759279639181066
-9.17786e+18,4,304.01,3,76.0025,2.9942583500226108
-9.17724e+18,5,686.13,5,137.226,4.774491058403207
-9.1771e+18,4,165.7,4,41.425,2.4023538267149642
-9.17686e+18,8,260.83,7,32.60375,3.637938760240806
-9.17661e+18,3,65.1,3,21.7,1.6075205792694378
-9.17613e+18,1,166.0,1,166.0,3.8275918085568295
-9.17537e+18,1,94.25,1,94.25,2.3399799353061987
-9.17526e+18,2,162.6,2,81.3,2.4573536990100613
-9.17495e+18,3,73.68,3,24.560000000000002,1.6668177215342015
-9.17469e+18,1,86.25,1,86.25,2.174113803097069
-9.17381e+18,1,29.9,1,29.9,1.005794234349013
-9.17376e+18,2,62.980000000000004,2,31.490000000000002,1.4246296933429687
-9.17373e+18,2,113.9,2,56.95,1.9524986590985234
-9.17357e+18,13,688.59,11,52.96846153846154,5.8645135783826685
-9.17318e+18,1,571.24,1,571.24,12.229540735610286
-9.17286e+18,3,234.8,1,78.26666666666667,2.5303323557648243
-9.17252e+18,2,66.98,1,33.49,1.341096226395251
-9.17245e+18,2,102.0,2,51.0,1.8291357232679835
-9.17207e+18,4,124.41999999999999,3,31.104999999999997,2.0633865161651865
-9.17186e+18,13,662.8,10,50.98461538461538,5.698381967328116
